ID	name	health	defense	KO	exhaust	GRank
0	Village 8 Airship Upgrade: Plesioth	3880	0.95	1.1	1.2	
1	Village 9 A Jungle Just for You	3160	0.95	1.3	1.3	
2	Village 10 Misty Peaks Missive	3280	0.95	1.3	1.4	
3	Hub 5 A Plesioth in the Misty Peaks	4480	0.85	1.3	1.5	
4	Hub 5 Awful Guest	4480	0.85	1.3	1.5	
5	Hub 6 Wild Gunman	3760	0.85	1.3	1.6	
6	*Hub 6 The Plesioth Adventure*	6040	0.8	1.3	1.75	
7	Hub 7 The Hunter Games	3760	0.85	1.3	1.6	
8	*Hub 7 The Foes of the Deep*	4480	0.85	1.3	1.6	
9	Hub G2 Shadows in the Desert Lake	8440	0.8	1.4	1.85	G
10	Hub G2 Please Plesioth Me!	8440	0.8	1.4	1.85	G
11	Hub G3 Frontier Fisticuffs	7120	0.8	1.5	1.9	G
12	*Hub G3 Diabolical Deluge*	14400	0.75	2	2.5	G
13	Arena Grudge Match: Plesioth	2440	0.85	1.1	1.3	
14	*Hub 1 DLC Retreat Run-in*	7120	0.8	1.4	1.8	
15	Hub 5 A Plesioth in the Misty Peaks (Gen)	4480	0.85	1.2	1.5	
16	Hub 5 Awful Guest (Gen)	4480	0.85	1.2	1.5	
17	Hub 6 Wild Gunman (Gen)	3760	0.85	1.25	1.6	
18	*Hub 6 The Plesioth Adventure (Gen)*	6760	0.8	1.7	1.7	
19	Hub 7 The Hunter Games (Gen)	3760	0.85	1.25	1.6	
20	*Hub 7 The Foes of the Deep (Gen)*	4960	0.85	1.3	1.6	
21	*Hub 1 DLC Retreat Run-in (Gen)*	7120	0.8	1.9	1.8	
