ID	name	health	defense	KO	exhaust	GRank
0	Grimclaw I: Hunt	7887	0.85	1.3	1.6	
1	Grimclaw II: Capture	7887	0.85	1.3	1.6	
2	Grimclaw III: Hunt	7887	0.85	1.3	1.6	
3	Grimclaw IV: Hunt	6844	0.85	1.3	1.6	
4	Grimclaw V: Hunt	8410	0.8	1.3	1.75	
5	Grimclaw VI: Hunt	7192	0.85	1.3	1.6	
6	Grimclaw VII: Hunt	7192	0.85	1.3	1.6	
7	Grimclaw VIII: Capture	8932	0.8	1.4	1.8	
8	Grimclaw IX: Hunt	7714	0.85	1.4	1.65	
9	Grimclaw X: Hunt	7714	0.85	1.4	1.65	
10	Grimclaw G1: Capture	14152	0.75	1.5	2.1	G
11	Grimclaw G2: Hunt	12760	0.75	1.7	2.3	G
12	Grimclaw G3: Hunt	10498	0.75	1.5	2.1	G
13	Grimclaw G3: Hunt	12412	0.75	1.7	2.3	G
14	Grimclaw G4: Hunt	20300	0.75	2	2.5	G
15	Grimclaw G5: Hunt	15950	0.75	2	2.5	G
16	Grimclaw EX: Hunt	26100	0.7	3.2	4	G
17	Arena DLC XX Trials: Grimclaw	7540	0.85	1.15	1.5	G
