ID	name	health	defense	KO	exhaust	GRank
0	Village 8 Airship Upgrade: Lavasioth	4365	0.95	1.1	1.2	
1	Village 9 You Had One Job	3555	0.95	1.3	1.3	
2	Hub 5 You Caught This? I Caught This	5040	0.85	1.3	1.5	
3	Hub 6 River of Fire	4230	0.85	1.3	1.6	
4	Hub 6 Firefight to the Finish!	4230	0.85	1.3	1.6	
5	*Hub 6 The Magma's Rage*	6795	0.8	1.3	1.75	
6	Hub G2 Afro Soul Is a Way of Life	9495	0.8	1.4	1.85	G
7	Hub G3 Heavenly Fire, Earthly Flame	8280	0.8	1.5	1.9	G
8	*Hub G3 It's a Miner's Life*	16200	0.75	2	2.5	G
9	*Hub 1 DLC Jump: Boiling Magma*	9900	0.8	1.5	1.9	
10	*Hub 1 DLC How It's Done*	8010	0.8	1.4	1.8	
11	Hub 5 You Caught This? I Caught This (Gen)	5040	0.85	1.2	1.5	
12	Hub 6 River of Fire (Gen)	4230	0.85	1.25	1.6	
13	Hub 6 Firefight to the Finish! (Gen)	4230	0.85	1.25	1.6	
14	*Hub 6 The Magma's Rage (Gen)*	7605	0.8	1.8	1.75	
15	*Hub 1 DLC Jump: Boiling Magma (Gen)*	9900	0.8	2.1	1.9	
16	*Hub 1 DLC How It's Done (Gen)*	8010	0.8	1.9	1.8	
