ID	name	health	defense	KO	exhaust	GRank
0	Village 6 Advanced: The Golden Pair	3825	0.85	1.3	1.6	
1	Village 6 Advanced: The Golden Pair	3825	0.85	1.3	1.6	
2	Village 10 Roar of the Rajang	5445	0.95	1.3	1.4	
3	Village 10 Primal Panic	5445	0.95	1.3	1.4	
4	Village 10 Advanced: Monster Hunter!	5445	0.8	1.3	1.75	
5	Hub 6 Legend of the Monkey King	5850	0.85	1.3	1.6	
6	Hub 6 The Rajang in the Snow	5850	0.85	1.3	1.6	
7	Hub 6 At the Slayground	4230	0.85	1.3	1.6	
8	Hub 7 The Hapless Bodyguard	4500	0.85	1.3	1.6	
9	Hub 7 You Bet Your Life	4500	0.85	1.3	1.6	
10	Hub 7 A Shocking Revelation!	4230	0.85	1.3	1.6	
11	*Hub 7 Rajang's Black Spirit*	9360	0.8	1.5	2	
12	Hub G4 Paint It Gold	10440	0.8	1.5	2	G
13	Hub G4 Emergency at the Arctic Ridge!	10440	0.8	1.5	2	G
14	Hub G4 The Ol' Razzle Dazzle	8550	0.8	1.5	1.9	G
15	*Hub G4 Rajang Against The Machine*	14625	0.75	2	2.5	G
16	Stonefist X: Hunt	5715	0.85	1.3	1.6	
17	Deadeye G4: Hunt	9225	0.75	1.6	2.2	G
18	Grimclaw G2: Hunt	7200	0.75	1.6	2.2	G
19	*Hub 1 DLC All's Hair in Glove & War*	11475	0.8	1.5	2	
20	Hub 1 DLC No Party Poopers!	5310	0.85	1.3	1.6	
21	Arena DLC Event: Hunt-a-thon 2	3825	0.85	1.15	1.5	
