ID	name	health	defense	KO	exhaust	GRank
0	Village 6 Advanced: Seltas Queen	4732	0.85	1.3	1.6	
1	Village 9 The Fly in the Ointment	5512	0.95	1.3	1.3	
2	Village 9 Pheromone Moans	5512	0.95	1.3	1.3	
3	Hub 6 Bug Buffet	6760	0.85	1.3	1.6	
4	Hub 6 Bug Bite	6760	0.85	1.3	1.6	
5	Hub 6 Bugging Out	4888	0.85	1.3	1.6	
6	Hub 7 The Hunter Games	4888	0.85	1.3	1.6	
7	*Hub 7 The Unassailable Seltas Queen*	8632	0.8	1.4	1.85	
8	*Hub 7 Primal Forest Defense*	6292	0.85	1.3	1.6	
9	Hub G3 Strutting the Royal Runway	11596	0.8	1.5	1.9	G
10	Hub G3 The Royal Guard	11596	0.8	1.5	1.9	G
11	*Hub G4 Neopteronophobia*	20020	0.75	2	2.5	G
12	*Hub 1 DLC DMC: The Seltas Queen's Cry*	12220	0.8	1.5	2	
