ID	name	health	defense	KO	exhaust	GRank
0	Village 6 Tigrex by the Tail	3050	1	1	1.05	
1	Village 6 The Hero's Journey	3050	1	1	1.05	
2	Village 6 Advanced: Seismic Scares	3500	0.9	1.3	1.5	
3	Village 6 Advanced: Seismic Scares	3500	0.9	1.3	1.5	
4	Village 6 Advanced: The Goliaths	3500	0.9	1.3	1.5	
5	Village 6 Advanced: Might is Right	3500	0.85	1.3	1.6	
6	Village 6 Advanced: Out of the Fry Pan	3800	0.85	1.3	1.6	
7	Village 9 Fearful Symmetry	5300	0.95	1.3	1.3	
8	Village 9 Ruler of the Frozen Seaway	5000	0.95	1.3	1.3	
9	Village 9 Desert Double Act	3950	0.95	1.3	1.3	
10	Village 9 Just a Mirage...?	3650	0.95	1.3	1.3	
11	Village 10 Advanced: Roaring in the Ridge	8149	0.8	1.4	1.85	
12	Village 10 Advanced: Monster Hunter!	6050	0.8	1.3	1.75	
13	Hub 3 Tigrex by the Tail	3800	0.95	1.2	1.25	
14	Hub 3 Making it Safe for Swine	2750	0.95	1	1.1	
15	Hub 6 What a Girl Wants	6500	0.85	1.3	1.6	
16	Hub 7 A Roar to the Heavens	5000	0.85	1.3	1.6	
17	Hub 7 Wyvern's Way	5000	0.85	1.3	1.6	
18	Hub 7 The Gathering Storm	4700	0.85	1.3	1.6	
19	*Hub 7 Tigrex, Tigrex, Burning Bright*	7550	0.8	1.3	1.75	
20	*Hub 7 The End of the Trials*	5600	0.85	1.3	1.6	
21	Hub G4 Tracing the Family Tree	13500	0.8	1.5	2	G
22	Hub G4 Price Freeze	13500	0.8	1.5	2	G
23	Hub G4 Jurassic Skulduggery	10250	0.8	1.5	2	G
24	*Hub G4 Tigrex Trap*	21750	0.75	2	2.5	G
25	*Hub G4 A Bed of Sand*	11299	0.75	2	2.5	G
26	Hub G4 Arena Allegiances	9800	0.75	1.5	2.1	G
27	Snowbaron IX: Hunt	5900	0.85	1.3	1.6	
28	Grimclaw X: Hunt	6350	0.85	1.3	1.6	
29	Elderfrost G5: Hunt	8750	0.75	1.7	2.3	G
30	Hub 1 DLC Felyne Village: The Tourney	5000	0.85	1.3	1.6	
31	*Hub 1 DLC Absolute Power*	10700	0.8	1.5	2	
32	Hub 1 DLC The Best of the Best	6350	0.85	1.3	1.6	
33	*Hub DLC Monster Hunter Channel I*	9050	0.75	1.6	2.2	G
34	Arena DLC Event: Hunt-a-thon 1	1550	0.85	1.15	1.5	
35	Arena DLC Event: Slay a Tigrex	4250	0.85	1.15	1.5	
36	Arena DLC XX Trials: Tigrex	4250	0.85	1.15	1.5	G
